folder,file,zone,temp,temp_max,ach,ehf
cluster00,single_00000,0,24.08261858418644,32.095975316089145,10.05402976431898,0.3934615384615385
cluster00,single_00001,1,25.199370320531962,33.163794319516924,2.166232777886079,0.7865384615384615
cluster00,single_00002,2,26.645454574102423,37.244257320032396,12.976897953600506,0.8403846153846154
cluster00,single_00003,3,25.704251467956492,35.34885649545329,71.67411687966865,0.7626923076923077
cluster00,single_00004,4,25.188892323007106,32.76739832021456,5.91606128138786,0.5557692307692308
cluster00,single_00005,5,24.290701135737674,33.10387963617047,29.35375703313464,0.6234615384615385
cluster00,single_00006,6,25.53177376462104,34.58068908629416,22.109274936393312,0.7607692307692308
cluster00,single_00007,7,29.000296565502108,39.91811435342951,8.781097402995002,0.9476923076923077
cluster00,single_00008,8,25.561779263602023,32.73131576075878,5.319765222563413,0.5565384615384615
cluster00,single_00009,9,28.82185884604523,38.84702307434444,0.6987053953092232,0.8353846153846154
cluster00,single_00010,0,25.066915259928987,33.05787474114278,11.171073215210036,0.5211538461538462
cluster00,single_00011,1,27.51079487103253,37.37669049647544,3.6151889198723524,0.8830769230769231
cluster00,single_00012,2,26.85094395469911,34.034472077875236,10.269289202708757,0.8438461538461538
cluster00,single_00013,3,27.67662194109439,39.01324645814031,6.402284956416815,0.7111538461538461
cluster00,single_00014,4,23.05904270145686,28.22534719078103,7.899037188070957,0.25153846153846154
cluster00,single_00015,5,28.480718601329954,39.324404822297794,9.60293094689144,0.7926923076923077
cluster00,single_00016,6,26.38042079331843,34.350356130952036,50.134398494485865,0.7146153846153847
cluster00,single_00017,7,22.952019718387582,28.466514937559797,10.882067422954913,0.0926923076923077
cluster00,single_00018,8,26.95313522458248,33.59121087355897,0.6782457099538586,0.8484615384615385
cluster00,single_00019,9,27.298777626295653,35.46926213918493,10.972318404328028,0.78
cluster00,single_00020,0,24.3862360646875,32.38459498539889,14.003085735068872,0.5034615384615385
cluster00,single_00021,1,24.5604485478013,30.285962499306002,2.0115443412701097,0.551923076923077
cluster00,single_00022,2,26.140537327157794,33.75375368149482,2.1636719226865386,0.7638461538461538
cluster00,single_00023,3,23.656559275594354,29.31876445015773,4.450290889118885,0.20307692307692307
cluster00,single_00024,4,25.781780051092614,34.46151644362069,17.179861802489974,0.818076923076923
cluster00,single_00025,5,26.857493307814646,33.90965989970304,9.581754601493284,0.791923076923077
cluster00,single_00026,6,28.497991774559225,35.56232674245959,1.6470516311803918,0.9130769230769231
cluster00,single_00027,7,31.852597881482563,41.402268606082224,0.877613874749048,0.9557692307692308
cluster00,single_00028,8,26.30365534510977,33.82424326467535,9.742925940108018,0.8853846153846154
cluster00,single_00029,9,23.533196144344934,29.761719698598665,57.4400996910114,0.22538461538461538
cluster00,single_00030,0,29.31155041592688,39.23734380120183,2.901126592760138,0.905
cluster00,single_00031,1,23.94704488501884,31.98343253588467,13.590871389485843,0.3303846153846154
cluster00,single_00032,2,27.552981921358487,36.7311215236591,7.45783147286725,0.7496153846153846
cluster00,single_00033,3,22.6199597401371,27.869471497928448,2.1169381137728926,0.06615384615384616
cluster00,single_00034,4,27.17501639802197,37.59857101257546,13.223535226698091,0.6926923076923077
cluster00,single_00035,5,23.521223473714517,29.686708277458443,3.0068315705487128,0.35
cluster00,single_00036,6,24.711046451819627,32.047606391984054,8.621977606364002,0.5526923076923077
cluster00,single_00037,7,25.8147704005005,33.75012136028579,17.58599790750499,0.635
cluster00,single_00038,8,27.208116418932867,34.51445956091853,14.058792179625122,0.9442307692307692
cluster00,single_00039,9,24.335428166983792,33.15307554144481,48.38298884826001,0.6684615384615384
cluster00,single_00040,0,23.912343810507064,28.409258394134067,1.7591326228918625,0.28423076923076923
cluster00,single_00041,1,29.112923841371934,39.205036516192905,6.338424581486092,0.8326923076923077
cluster00,single_00042,2,24.28733464434972,32.77953315718273,16.518283207748105,0.3976923076923077
cluster00,single_00043,3,29.980401540704992,40.46174044673751,2.164963725186441,0.9426923076923077
cluster00,single_00044,4,25.081830861939366,32.442239431279894,5.458324379076016,0.5407692307692308
cluster00,single_00045,5,27.969562910146973,37.980020335370064,7.857062471709503,0.833076923076923
cluster00,single_00046,6,23.12350301606264,27.20288733052288,2.6892808754045943,0.5223076923076924
cluster00,single_00047,7,25.34912583950132,32.59129414107356,2.6072897131488797,0.5892307692307692
cluster00,single_00048,8,23.57637908703088,27.47802812965537,0.8439859662745978,0.6657692307692308
cluster00,single_00049,9,23.045751338852106,27.276146701483746,2.7855847338040807,0.12076923076923077
cluster00,single_00050,0,24.912465479998566,32.9220491567769,5.166099886931525,0.5765384615384616
cluster00,single_00051,1,22.299880294870515,26.37444797827353,2.9327276775318056,0.06230769230769231
cluster00,single_00052,2,26.651666853208187,33.65649009506423,0.861578958883335,0.8215384615384616
cluster00,single_00053,3,23.8854197175153,32.41461239626821,53.936463481979075,0.3607692307692308
cluster00,single_00054,4,26.895991374096283,34.201084744414075,3.0380379848002237,0.7280769230769231
cluster00,single_00055,5,25.24514480965298,33.023449427198734,11.038908984463477,0.7557692307692307
cluster00,single_00056,6,23.733844055294767,30.073836143951553,7.605022597824836,0.4026923076923077
cluster00,single_00057,7,22.564785995289917,27.08880310306925,11.09728664889721,0.04807692307692308
cluster00,single_00058,8,25.16453852107759,32.54661661242881,2.2172935237251528,0.5023076923076923
cluster00,single_00059,9,22.04569606121694,25.969742005754924,5.8671750398578615,0.016153846153846154
cluster00,single_00060,0,27.029437377010407,36.86325492811489,10.283670367099981,0.7576923076923077
cluster00,single_00061,1,23.10303580852316,28.857845907634438,5.2285292231388265,0.16346153846153846
